,default_profile,default_profile_image,favourites_count,followers_count,friends_count,geo_enabled,statuses_count,verified,account_age_days,account_type
841,1,0,2502,14,152,1,3055,0,3025,1
903,1,0,175,2,0,0,241,0,2948,1
929,1,0,1729,138,52,0,4898,0,2059,1
930,1,0,36,1,0,0,389,0,1155,1
931,1,0,291,867,784,0,24494,0,2087,1
975,0,0,2267,273,250,1,6999,0,3448,1
981,1,0,2362,9,0,0,3584,0,3975,1
989,0,0,1076,57,65,1,3545,0,3174,1
1007,0,0,18429,47161738,904,0,404797,1,4918,1
1008,1,0,2318,29,34,0,3204,0,1477,1
1013,1,1,119,4,0,0,146,0,2485,1
1039,0,0,8,75,0,1,6,0,3223,1
1053,1,0,1899,33,142,0,2696,0,3110,1
1066,1,0,562,35,230,1,3201,0,2372,1
1074,0,0,0,70,1,0,2757,0,1006,1
1088,1,0,1331,6,26,0,1330,0,1462,1
1092,0,0,46812,117976,301,1,20892,1,3532,1
1110,0,0,1523,207537,73482,0,227614,1,2899,1
1124,1,0,2362,38,0,0,3161,0,2087,1
1129,0,0,239,81407,86341,0,10282,0,2604,1
1139,0,0,3585,51,76,1,5092,0,2793,1
1140,1,0,339,27,0,0,40,0,3267,1
1147,1,0,384,14,0,0,19,0,2898,1
1150,1,0,2238,9,0,0,3278,0,2666,1
1196,0,0,57536,286,554,1,50195,0,2419,1
1214,1,0,271,13,0,0,50,0,1664,1
1248,1,0,1676,17,5,0,1673,0,1800,1
1250,0,1,2246,15,28,0,3056,0,3121,1
1261,1,0,1290,2,26,0,1858,0,3041,1
1314,1,0,683,28,159,0,118,0,2820,1
1358,1,0,2320,25,129,0,3188,0,3437,1
1395,1,0,6,10,87,0,10420,0,2111,1
1397,0,0,3112,295,751,1,4283,0,3742,1
1442,1,0,448,22,54,0,547,0,2375,1
1475,1,0,1558,33,0,0,2250,0,3317,1
1478,1,0,19,185,197,0,2099,0,2040,1
1481,0,0,643,95,266,0,891,0,2965,1
1488,1,0,1332,10,32,0,1332,0,1462,1
1510,1,0,492,18,39,0,732,0,1993,1
1512,1,0,1591,5,24,0,2247,0,3955,1
1522,1,0,2328,11,99,0,3297,0,3473,1
1526,1,0,973,18,9,0,1410,0,3413,1
1535,1,0,61,0,0,0,389,0,1155,1
1555,1,0,1495,13,101,0,1051,0,1302,1
1562,1,0,2305,5,39,0,3117,0,1544,1
1579,1,0,1064,3,54,0,1610,0,3095,1
1606,1,0,148,17,134,0,42,0,2453,1
1617,0,0,40527,1312,989,0,93128,0,2655,1
1618,1,0,1278,9,0,0,1902,0,2970,1
1619,1,0,174,15,0,0,58,0,3492,1
1622,1,0,190763,35274,17435,1,130230,0,2883,1
1626,1,0,0,866,0,0,142101,0,1687,1
1706,1,0,2,950,1804,1,1991,0,4276,1
1709,1,0,13,3,13,0,0,0,731,1
1713,0,0,739,1088506,1145,1,167197,1,3821,1
1731,1,0,38,0,0,0,160,0,1268,1
1762,1,1,100,1,0,0,109,0,3912,1
1796,1,0,121,4,0,0,22,0,2716,1
1811,1,1,6,12,1620,0,15,0,1426,1
1822,0,0,4648,1027,0,1,29866,0,3509,1
1831,0,0,1233,2,23,0,1747,0,2532,1
1926,0,0,2278,16,0,0,3003,0,3805,1
1958,0,0,2524,666,2159,1,7704,0,4162,1
1976,0,0,113,10,0,0,20,0,3223,1
1986,1,0,180,5,0,0,35,0,2731,1
1991,1,0,1013,1,0,0,192,0,3501,1
1999,0,0,716,1027,2138,0,1145,0,2119,1
2010,1,1,95,4,0,0,92,0,3013,1
2091,1,1,0,21,43,0,25298,0,3398,1
2104,1,0,46,37,118,0,5,0,2325,1
2120,1,0,4554,76,85,0,2932,0,972,1
2146,0,0,112865,1725,827,0,114547,0,2066,1
2158,0,0,2058,40,82,1,3244,0,3642,1
2173,0,0,2287,118,326,0,4047,0,2783,1
2183,0,0,2297,201,681,1,5034,0,4100,1
2211,0,0,2299,27,0,0,3361,0,3331,1
2220,1,0,2120,170,130,0,14432,0,2017,1
2223,0,0,1390,14,122,1,2105,0,3009,1
2224,1,0,1438,3,75,0,1233,0,2904,1
2226,0,0,7559,244400,176,1,13363,0,2345,1
2247,0,0,654,788,2249,0,3655,0,3059,1
2270,0,0,2224,13,0,0,3664,0,3914,1
2336,1,0,28,1,0,0,263,0,1154,1
2356,0,0,751,6,55,0,1050,0,3729,1
2377,1,0,10984,98,1832,0,1358,0,2261,1
2379,1,0,8,62175,18519,0,53128,0,2690,1
2412,0,0,2288,46,0,0,3375,0,3208,1
2422,0,0,121,223,731,0,2129,0,1144,1
2429,0,0,2225,27,0,0,3226,0,2906,1
2502,1,0,0,18,0,0,6615,0,2871,1
2513,0,0,7748,867,1063,0,17223,0,3465,1
2546,1,0,1103,5461,8,0,4587,0,3246,1
2569,0,0,2429,44,77,0,3560,0,4024,1
2590,1,0,646,7,0,0,972,0,2097,1
2622,1,0,445,25,0,0,90,0,3733,1
2634,1,0,0,0,0,0,140,0,663,1
2649,1,0,3,69,19,1,1005,0,1907,1
2669,1,0,190,209926,1147,1,197811,0,4076,1
2676,0,0,3094,28,135,0,762,0,3501,1
2694,0,0,2126,851,365,1,315220,0,3400,1
2695,0,0,176,1462007,960,0,12000,1,3276,1
2725,1,0,15,38,132,0,2997,0,3823,1
2756,0,0,578,30677,1825,0,2840,0,2075,1
2769,1,0,13,189,70,0,30856,0,1642,1
2793,0,0,0,9,0,0,25102,0,1028,1
2812,0,0,1618,20,4,0,1702,0,2961,1
2827,0,0,0,14,0,0,4663,0,1781,1
2843,1,0,1332,6,11,0,1332,0,1462,1
2865,0,0,1030,97,0,0,374,0,3423,1
2866,1,1,46,3,0,0,46,0,4219,1
2909,1,0,52,7,77,0,8,0,2956,1
2949,1,0,91,15,2,0,43,0,2605,1
2958,1,0,2085,7,0,0,2965,0,2977,1
2973,1,0,2312,55,0,0,3620,0,2995,1
2976,1,0,326,57,804,0,88,0,2030,1
2985,1,0,1343,12,0,0,1339,0,1849,1
3006,0,0,31597,1078,735,1,152305,0,3468,1
3007,1,0,217,48,79,1,288,0,3980,1
3025,1,0,1302,4,13,0,1912,0,2256,1
3026,0,0,14325,1036116,4265,1,227481,1,4392,1
3039,0,0,0,2633,1,0,143183,0,2118,1
3043,1,0,17814,100,140,0,12014,0,3203,1
3052,0,0,2322,84,0,0,3868,0,2964,1
3108,1,0,10,10,118,0,17,0,1261,1
3111,0,0,2346,384,2,0,2979,0,1669,1
3118,1,0,935,4,734,0,149,0,2022,1
3143,1,0,2402,12,89,0,3455,0,1491,1
3204,0,0,2411,4900,12713,0,6325,0,3107,1
3227,1,0,3492,26,37,0,3703,0,1751,1
3234,0,0,0,11,21,0,5408,0,4176,1
3255,0,0,1362,0,22,0,1996,0,3563,1
3279,1,0,25,0,0,0,256,0,1155,1
3284,0,0,1333,7,0,0,1437,0,2386,1
3295,1,0,330,12,0,0,63,0,3468,1
3318,0,0,20,219,135,0,6509,0,2937,1
3341,1,0,0,1186,1,0,3378,0,861,1
3342,1,0,400,12,0,0,60,0,1213,1
3348,1,0,17148,112,10,1,2314,0,2400,1
3359,0,0,6119,29,172,0,3453,0,2005,1
3377,0,0,73,124,0,1,7318,0,3119,1
3390,0,0,16,10,0,0,62,0,2741,1
3404,0,0,1343,23,200,0,1926,0,3797,1
3405,1,0,2395,38,0,1,2992,0,3326,1
3415,1,0,1265,0,28,1,291,0,3690,1
3425,1,0,434,45,18,0,66,0,2672,1
3459,1,1,12,3,0,0,10,0,1095,1
3493,0,0,2537,35,0,0,3316,0,3462,1
3531,1,0,2004,48,362,0,2787,0,3338,1
3540,0,0,1406,120970,1857,1,97254,0,4046,1
3617,0,0,1486,1731928,173,0,134341,1,4252,1
3641,0,0,0,2983,293,0,168938,0,1271,1
3704,0,0,2335,9,0,0,3287,0,2990,1
3738,1,0,25,0,0,0,214,0,1155,1
3749,1,0,1174,0,18,0,1815,0,1619,1
3771,0,0,403,334785,0,1,106483,1,3528,1
3790,0,0,32,105922,1288,0,113715,1,4207,1
3799,1,0,248,5,19,1,1169,0,3180,1
3811,0,0,199,14,0,0,49,0,2187,1
3841,1,0,2301,20,0,0,3161,0,2317,1
3857,1,0,2668,20,129,0,3103,0,2507,1
3864,0,0,248,1401975,395,1,206318,1,4198,1
3882,1,0,433,24,0,0,87,0,4097,1
3888,1,1,192,18,161,0,1020,0,1681,1
3924,1,0,1416,15,340,0,2147,0,2681,1
3931,0,0,1062,9,70,0,1618,0,4121,1
3932,1,0,22923,625,640,0,49759,0,2825,1
3941,0,0,69377,51,51,1,18205,0,2834,1
3944,1,0,1359,35,39,0,1862,0,3446,1
4005,1,0,2160,10,43,0,2693,0,2427,1
4029,0,0,559191,1183,1734,0,483784,0,3741,1
4048,1,0,13177,112858,134073,1,51862,0,2266,1
4052,1,0,202,109,66,0,2859,0,2184,1
4059,1,0,2115,4,5,0,2651,0,1359,1
4110,1,0,56948,1070,806,1,232166,0,2424,1
4113,0,0,1234,6,67,0,1779,0,2383,1
4125,0,0,259,2209,1729,1,336508,0,3539,1
4242,1,1,256,158,3305,0,6839,0,2792,1
4247,1,1,0,38,37,0,32277,0,2868,1
4282,0,0,27262,1263,429,1,110658,0,3345,1
4329,1,0,26825,26356,311,0,137131,0,2903,1
4364,0,0,4,1132,16,0,22,0,1455,1
4408,1,0,1899,7,0,0,2603,0,4126,1
4421,1,0,2776,19,75,1,3786,0,2892,1
4440,1,0,54,21,18,0,375,0,1280,1
4442,1,0,6826,292,100,0,20172,0,1886,1
4445,1,0,492,19,0,0,93,0,3394,1
4500,1,0,0,951,2093,0,46832,0,2105,1
4512,1,0,538,9,0,0,105,0,1289,1
4536,0,0,23166,132,757,1,18947,0,3099,1
4554,0,0,0,6701,0,0,48514,0,2038,1
4559,0,0,889,576,488,0,21171,0,1128,1
4592,1,0,0,683,3,0,275,0,2282,1
4598,1,0,2570,190,597,0,3055,0,2804,1
4603,0,0,0,62,2,0,5840,0,795,1
4638,0,0,2152,195,0,0,9187,0,4103,1
4644,0,0,2482,227,443,1,9326,0,4659,1
4654,1,0,29,0,0,0,233,0,1155,1
4664,1,0,437,17,0,0,99,0,2640,1
4666,1,0,1239,3,0,0,1858,0,3347,1
4679,1,0,48,7,0,0,15,0,2132,1
4719,0,0,1121,33,99,1,1647,0,3037,1
4744,1,0,232,3,0,0,345,0,2766,1
4753,1,0,3513,113,0,0,4036,0,1751,1
4760,0,0,2192,0,0,0,2194,0,2858,1
4781,1,0,1633,10,99,0,331,0,1836,1
4783,0,0,5739,108079,174,1,14884,0,2949,1
4816,1,0,1783,80,97,0,3586,0,1750,1
4833,0,0,2236,118,0,0,6661,0,4150,1
4859,0,0,215,1613,2462,1,913,0,3681,1
4860,1,0,1083,16,88,0,1470,0,1572,1
4897,1,0,1324,27,0,1,1886,0,3551,1
4909,0,0,244,679,0,0,25798,0,3484,1
4912,1,0,1272,2,1,0,1815,0,2466,1
4914,1,0,1820,18,17,0,2416,0,3404,1
4927,1,0,359,28,0,0,214,0,2602,1
4945,1,0,1319,2,5,0,1856,0,2255,1
4950,1,0,75,17,132,0,11,0,2151,1
4954,1,0,0,733,1,0,25572,0,1071,1
5009,1,0,1372,35,0,0,2050,0,3855,1
5023,0,0,1554,15,580,0,2301,0,4122,1
5034,0,0,2254,9,0,0,3027,0,3021,1
5039,0,0,936,191,349,0,236,0,1201,1
5047,1,0,1178,2,25,0,1696,0,1348,1
5101,0,0,2297,16,0,0,3128,0,3193,1
5104,1,0,2373,14,76,0,3262,0,2871,1
5113,1,0,2048,35,0,0,3182,0,1472,1
5126,1,0,6264,189,327,1,2132,0,2638,1
5133,0,0,4884,141,1081,0,11743,0,4073,1
5140,1,0,2169,1,107,0,2198,0,2858,1
5155,1,0,2178,18,0,0,2936,0,3310,1
5219,0,0,4201,221,493,1,14165,0,4037,1
5264,1,0,19084,228,222,1,12038,0,2454,1
5267,1,0,0,0,0,0,183,0,662,1
5282,1,0,958,15,25,0,5,0,2536,1
5321,0,0,256,82562,78903,0,72445,0,2410,1
5322,0,0,36,1,0,0,40,0,3189,1
5327,1,0,996,16,109,0,2826,0,4131,1
5330,0,0,3395,706,55,1,578,0,2878,1
5342,1,0,1034,33,0,0,1433,0,3394,1
5361,1,0,2551,34,119,1,3279,0,3146,1
5362,0,0,2239,26,40,0,3343,0,3235,1
5382,1,0,1291,4,53,0,1620,0,1668,1
5388,1,0,1892,6,2,0,2426,0,2176,1
5402,1,0,1781,9,0,0,2276,0,1828,1
5412,1,0,1214,4,46,0,1752,0,1893,1
5428,1,0,1137,5,41,0,95,0,2717,1
5437,1,0,1840,35,28,0,2690,0,3436,1
5447,1,0,11,3,1,1,37,0,2572,1
5451,0,0,221,6,0,0,36,0,2756,1
5460,0,0,1203,4,33,0,1830,0,1223,1
5485,1,0,1469,12,63,0,2205,0,4294,1
5488,1,0,152,15,152,0,43,0,3154,1
5523,0,0,2121,14,339,0,340,0,2800,1
5559,1,0,903,56,30,1,801,0,2865,1
5567,1,0,136,17,124,0,8,0,2199,1
5612,1,1,0,778,1549,0,169479,0,3571,1
5615,1,0,748,130,0,0,797,0,2429,1
5633,0,0,401,14,0,0,74,0,4072,1
5642,1,0,1331,10,31,0,1332,0,1462,1
5657,1,0,6,0,126,0,364,0,1287,1
5690,1,0,722,2,0,0,1076,0,3616,1
5692,0,0,0,9,0,0,2352,0,593,1
5699,1,0,4670,3020,2761,0,39992,0,1171,1
5702,1,0,17,0,0,0,114,0,1157,1
5727,1,0,120,22,13,0,1076,0,1271,1
5747,1,0,1147,6,0,0,1618,0,3724,1
5750,0,0,8445,380724,850,1,32782,1,4522,1
5793,1,0,15,0,0,0,173,0,1155,1
5829,1,0,501,14,131,0,656,0,4140,1
5841,1,0,0,15,1,0,30847,0,1340,1
5864,1,0,64,0,0,0,102,0,1135,1
5868,1,0,608,28,57,0,1016,0,3129,1
5871,1,0,1545,4,0,0,2266,0,1259,1
5938,1,0,735,39,0,1,126,0,2829,1
5940,1,0,1080,2,30,0,1503,0,2889,1
5942,1,0,5,59,63,0,1136,0,1871,1
5965,0,0,4619,200,0,0,16776,0,3831,1
5967,1,0,7111,1,0,0,7154,0,2792,1
5981,1,0,2025,2,10,0,2891,0,1339,1
5988,0,0,3,83,2,0,11664,0,1861,1
6008,1,0,225,13,0,0,62,0,3360,1
6018,0,0,500,106441,927,1,24815,1,4223,1
6043,0,0,1106,5,0,0,1176,0,1889,1
6049,0,0,6,301,137,0,1882,0,3508,1
6061,0,0,2,4917,3,0,24698,0,1070,1
6100,1,0,14,1,0,0,107,0,1231,1
6111,1,0,2399,180,0,0,3581,0,2923,1
6129,0,0,378,58,399,0,136,0,2774,1
6160,0,0,540,19,0,1,768,0,4018,1
6191,1,0,1265,14,0,0,1845,0,2555,1
6193,1,0,742,11,0,1,1051,0,3651,1
6206,1,1,93,3,0,0,123,0,3738,1
6260,1,0,5330,85,610,0,4729,0,1826,1
6280,0,0,1075,33,80,0,1604,0,3630,1
6308,0,0,2130,48,470,1,3405,0,3049,1
6327,1,0,1235,11,69,0,1804,0,3562,1
6351,1,0,454,20,0,0,88,0,3227,1
6373,0,0,888,218,827,0,1266,0,3848,1
6448,1,0,21563,109,1381,0,4801,0,3389,1
6455,0,0,247,847,459,1,6366,0,2544,1
6474,1,0,184,13,180,0,42,0,2658,1
6501,0,0,416,3713,4858,0,5149,0,2056,1
6563,0,0,1058,8,71,1,1426,0,4174,1
6568,1,0,2531,33,263,1,3471,0,3261,1
6598,1,0,0,992,2,0,271676,0,2383,1
6636,0,0,0,123,60,0,89194,0,3653,1
6642,1,0,1863,5,0,0,2535,0,2679,1
6651,1,0,774,19,0,0,264,0,2424,1
6654,0,0,2303,25,0,0,3149,0,3235,1
6669,0,0,592,1643305,39,1,409241,1,3750,1
6676,1,0,1744,130,100,1,2637,0,1432,1
6683,1,0,1644,7,0,0,2248,0,3359,1
6702,0,0,15768,1253153,837,1,30430,1,4114,1
6714,1,0,313,33,72,0,391,0,4349,1
6744,1,0,420,1,3,0,67,0,3066,1
6753,1,0,690,7,30,1,956,0,3435,1
6770,1,0,2941,155,176,0,6088,0,2790,1
6776,1,0,132,9,0,0,25,0,2830,1
6777,1,0,1866,24,30,0,2324,0,3630,1
6853,1,1,18,2,0,0,42,0,2644,1
6854,0,0,0,52,0,0,51802,0,1605,1
6903,1,0,2465,44,67,0,3503,0,2322,1
6909,1,0,1158,4,156,0,1699,0,1344,1
6916,0,0,2171,0,0,0,2195,0,2875,1
6954,0,0,2159,51,0,0,4562,0,4077,1
6958,1,0,27,10,0,0,23,0,2506,1
6981,1,0,359,32,0,0,69,0,2158,1
7019,1,0,1248,2,1,0,1829,0,1289,1
7020,1,1,1160,12,8,0,1230,0,2026,1
7038,0,0,1627,30,156,0,3345,0,3863,1
7050,0,0,108055,1665,483,0,84712,0,1162,1
7057,0,0,2092,55,149,0,2767,0,3710,1
7084,1,0,0,1285,1,0,100804,0,1851,1
7156,1,0,1013,56,0,0,1618,0,1992,1
7172,1,0,196,0,0,0,315,0,1143,1
7187,1,0,533,5,29,0,764,0,1223,1
7197,1,0,32,46,58,0,90,0,2738,1
7204,1,0,53,13,0,0,17,0,2195,1
7214,1,0,30,0,0,0,195,0,1154,1
7234,1,0,1306,5,57,0,1782,0,1879,1
7239,0,0,2463,3161577,967,1,149294,1,4261,1
7246,1,0,553,4,0,0,831,0,2650,1
7255,0,0,2472,65,68,1,3026,0,4519,1
7261,0,0,419,230,305,0,37,0,1667,1
7282,1,0,2255,13,47,0,3094,0,3719,1
7304,0,0,2378,158,159,1,4912,0,4014,1
7313,1,0,28,0,0,0,269,0,1155,1
7379,1,0,386,273,936,1,1944,0,3347,1
7417,0,0,2481,563,0,1,25204,0,3472,1
7449,0,0,1724,20,55,0,2195,0,3783,1
7476,0,0,2382,147,428,1,9464,0,3779,1
7518,1,0,1299,4,97,0,1931,0,1747,1
7523,0,0,247,1453374,308,0,445963,1,4032,1
7525,1,0,1612,7,0,1,2252,0,3241,1
7529,1,0,1470,260,1503,0,56,0,2220,1
7532,1,0,74,1,0,0,85,0,3196,1
7555,1,0,118,205,559,0,2027,0,2437,1
7584,1,0,2193,0,111,0,2201,0,2875,1
7606,1,0,24,1,0,0,165,0,1155,1
7612,1,0,11251,95,515,0,3739,0,2508,1
7628,1,0,2017,46,266,0,2472,0,2025,1
7659,0,0,723,183,0,0,268,0,4091,1
7692,0,0,2242,666196,3432,1,207231,1,4133,1
7699,0,0,0,30,1,0,4129,0,696,1
7705,0,0,677,3,0,0,953,0,3797,1
7711,1,0,934,11,1006,0,1401,0,3407,1
7726,1,0,113,160,358,0,355,0,2161,1
7768,0,0,2204,23,139,0,1652,0,2970,1
7777,1,0,1206,0,50,0,1831,0,1633,1
7788,1,0,188,10,170,0,2082,0,3279,1
7794,1,0,1332,14,14,0,1332,0,1462,1
7795,1,0,3544,26,66,0,4052,0,1751,1
7805,1,0,782,22,1365,0,1116,0,1582,1
7835,0,0,0,755507,45,0,47439,0,3682,1
7839,1,0,320,13,349,0,58,0,1024,1
7897,0,0,2230,353,354,1,4231,0,4003,1
7908,1,0,1841,20,89,1,1899,0,4143,1
7928,1,0,231,32,0,0,47,0,3225,1
7945,0,0,102,76,433,1,875,0,4018,1
7951,1,0,69529,1558,1072,1,62030,0,2125,1
7979,0,0,3580,599,205,0,4723,0,2197,1
7983,0,0,1292,12,39,0,1854,0,3855,1
8023,1,0,346,0,21,0,345,0,1411,1
8055,1,0,171,1,0,0,164,0,2610,1
8099,1,0,2170,0,93,0,2193,0,2875,1
8100,0,0,0,56,2,0,5251,0,916,1
8120,1,0,1517,14,226,0,2152,0,3125,1
8121,1,0,233,26,144,1,1038,0,3171,1
8160,0,0,2459,109,549,1,4092,0,3690,1
8162,0,0,2283,16,0,0,3154,0,3101,1
8175,1,0,1208,9,3,0,1780,0,2727,1
8197,0,0,3118,211,254,1,6665,0,3735,1
8207,1,0,2138,4,23,0,2925,0,1875,1
8234,0,0,1074,27,68,0,1592,0,3827,1
8255,0,0,698,17,31,0,1046,0,3573,1
8297,1,0,938,171,50,1,1917,0,2040,1
8322,0,0,25480,321,429,1,2091,0,1656,1
8323,0,0,30,7,0,0,49,0,3573,1
8332,1,0,380,7,51,0,32,0,2708,1
8351,1,0,1454,6,0,0,2008,0,3049,1
8357,1,0,404,10,24,0,558,0,2768,1
8360,1,0,704,37,0,0,110,0,2621,1
8382,0,0,434,49,0,0,569,0,4222,1
8427,1,0,220,6,0,0,43,0,2770,1
8434,0,0,874,44,0,0,1245,0,2060,1
8437,1,0,78,14,0,0,110,0,3618,1
8438,1,0,1660,9,23,0,2354,0,1774,1
8448,1,0,2412,9,0,0,2650,0,2265,1
8451,0,0,2258,4,3,0,3128,0,2810,1
8458,1,0,36121,324,191,0,24021,0,1126,1
8466,1,0,2036,1,36,0,2035,0,2875,1
8485,1,0,216,7,0,0,64,0,2456,1
8510,1,0,227,8,0,0,44,0,3497,1
8523,1,0,2375,67,285,1,3671,0,3912,1
8526,0,0,17667,1549,402,1,24420,0,1888,1
8538,1,0,1358,23,80,0,2069,0,1570,1
8559,0,0,28447,721,725,1,26058,0,2905,1
8561,0,0,6563,148113,3696,1,57574,1,4192,1
8577,1,0,2684,699,0,0,27609,0,2788,1
8582,1,0,4678,489,1058,0,7263,0,2010,1
8586,1,0,66,2,49,0,10,0,2612,1
8587,1,1,6,3,0,0,19,0,2905,1
8612,1,0,719,26,44,0,1106,0,3934,1
8615,0,0,8821,1,90,0,5868,0,2664,1
8668,0,0,2307,255,772,1,4717,0,4494,1
8684,1,0,956,10,50,0,1298,0,1347,1
8692,1,0,1353,5,28,1,2033,0,2919,1
8707,0,0,7111,189,237,1,2287,0,2368,1
8740,1,0,9988,254,0,0,20388,0,3277,1
8773,0,0,4339,455,0,1,118901,0,3238,1
8780,0,0,0,1077278,0,0,17508,0,2666,1
8787,0,0,2589,170,642,1,4559,0,3382,1
8823,0,0,0,320,0,0,3074,0,3858,1
8832,1,0,138,2,0,0,762,0,1154,1
8850,1,0,1332,8,33,0,1335,0,1446,1
8876,1,0,1796,12,0,0,2613,0,3199,1
8885,1,0,2023,27,329,1,1383,0,1146,1
8890,0,0,967,2986410,68,1,168599,1,2769,1
8921,1,0,2440,8,36,0,3387,0,1663,1
8929,0,0,2417,26,23,0,3540,0,3175,1
8938,0,0,217,78,0,0,354,0,2951,1
8972,0,0,1596,1876,2368,0,2387,0,4082,1
8998,1,0,12,0,0,0,125,0,1218,1
9007,0,0,2167,26,151,0,999,0,4026,1
9014,1,0,1115,16,81,1,1639,0,3143,1
9057,0,0,76,169,0,1,565,0,3703,1
9063,0,0,2274,2336,1,0,1284,0,3823,1
9077,1,1,0,210,1045,0,4,0,1035,1
9103,1,0,6,27,4,0,28531,0,1200,1
9128,1,0,2,927,0,0,1561,0,1827,1
9162,0,0,182,46,16,0,5820,0,2406,1
9167,1,0,1295,4,142,0,1937,0,1509,1
9217,0,0,919,242178,657,1,92416,1,4051,1
9260,1,0,1915,10,13,0,2862,0,1289,1
9289,0,0,9873,163,850,1,6417,0,3860,1
9322,1,0,10734,51,0,0,3511,0,3493,1
9324,1,0,1129,4,75,0,1743,0,2098,1
9396,0,0,799,834,719,1,20712,0,4117,1
9431,1,0,18,1,0,0,133,0,1155,1
9458,1,0,26,1,21,0,213,0,1231,1
9497,0,0,4,15,173,0,10,0,1108,1
9566,1,0,2252,528,1014,0,3285,0,3362,1
9570,1,0,144,8,136,0,36,0,1681,1
9588,1,0,1126,3,37,0,1653,0,2674,1
9597,1,0,708,22,149,1,1138,0,2851,1
9615,1,0,1,644,1,0,29300,0,1591,1
9617,1,0,1423,5,0,0,2123,0,1661,1
9618,1,0,60,268,138,0,8709,0,2229,1
9625,0,0,2173,61,17,0,3129,0,4142,1
9683,1,0,49533,319,181,1,38190,0,2237,1
9684,1,0,2145,1,0,0,2940,0,3330,1
9692,0,0,20729,1577369,3035,1,40850,1,4352,1
9706,1,0,4390,57,66,1,5392,0,2669,1
9718,1,0,841,2,41,0,1155,0,1193,1
9721,1,0,7204,2158,4647,0,1697,0,1974,1
9814,1,0,2831,48,95,0,3534,0,2042,1
9837,1,0,1071,23,93,0,1508,0,1585,1
9841,0,0,1618,2140,1814,0,7172,0,3130,1
9878,1,0,54,6,65,0,11,0,4014,1
9883,1,0,46,0,0,0,240,0,1154,1
9906,1,0,48,23,20,0,521,0,1280,1
9908,1,0,888,2,0,1,1270,0,2414,1
9919,1,0,1801,13,0,0,2488,0,1569,1
9927,0,0,494,925,1721,0,435764,0,3589,1
9960,0,0,1,4076,31,0,28408,0,4362,1
9964,0,0,832,908,637,0,1968,0,3254,1
10008,0,0,2859,948,45,1,84751,0,2752,1
10059,1,0,2084,29,204,1,3417,0,3734,1
10091,0,0,9348,1269,0,0,35515,0,3215,1
10109,0,1,241,17,271,0,1449,0,2916,1
10135,1,0,279,18,0,0,328,0,2343,1
10137,0,0,3716,1597823,121,1,335987,1,3808,1
10146,0,0,0,28830,1,0,95,0,1278,1
10156,0,0,2323,910,1032,1,14003,0,4053,1
10182,1,0,1895,39,27,1,2663,0,2888,1
10190,0,0,2001,19,56,0,2847,0,3135,1
10235,1,0,9,102,48,0,4131,0,1915,1
